movie_title,genre,mpaa_rating,rating_description,inflation_adjusted_gross,year,generation
Frozen,Adventure,PG,Parental Guidance Suggested,414997174,2013,n/a
Delivery Man,Comedy,PG-13,Parents Strongly Cautioned,31787136,2013,n/a
Saving Mr. Banks,Drama,PG-13,Parents Strongly Cautioned,86249969,2013,n/a
Need for Speed,Action,PG-13,Parents Strongly Cautioned,44955015,2014,n/a
Muppets Most Wanted,Comedy,PG,Parental Guidance Suggested,52807594,2014,n/a
Captain America: The Winter Soldier,Action,PG-13,Parents Strongly Cautioned,268013076,2014,n/a
Bears,Documentary,G,General Audiences,18346024,2014,n/a
Million Dollar Arm,Drama,PG,Parental Guidance Suggested,37607865,2014,n/a
Maleficent,Adventure,PG,Parental Guidance Suggested,249089809,2014,n/a
Planes: Fire and Rescue,Adventure,PG,Parental Guidance Suggested,61040349,2014,n/a
Guardians of the Galaxy,Adventure,PG-13,Parents Strongly Cautioned,343771168,2014,n/a
The Hundred-Foot Journey,Romantic Comedy,PG,Parental Guidance Suggested,55961409,2014,n/a
"Alexander and the Terrible, Horrible,…",Comedy,PG,Parental Guidance Suggested,69055550,2014,n/a
Big Hero 6,Adventure,PG,Parental Guidance Suggested,229249222,2014,n/a
Into the Woods,Musical,PG,Parental Guidance Suggested,130894237,2014,n/a
Strange Magic,Adventure,PG,Parental Guidance Suggested,12429583,2015,n/a
"McFarland, USA",Drama,PG,Parental Guidance Suggested,44480275,2015,n/a
Cinderella,Drama,PG,Parental Guidance Suggested,201151353,2015,n/a
Monkey Kingdom,Documentary,G,General Audiences,16432322,2015,n/a
Avengers: Age of Ultron,Action,PG-13,Parents Strongly Cautioned,459005868,2015,n/a
Tomorrowland,Adventure,PG,Parental Guidance Suggested,93436322,2015,n/a
Inside Out,Adventure,PG,Parental Guidance Suggested,356461711,2015,n/a
Ant-Man,Action,PG-13,Parents Strongly Cautioned,180202163,2015,n/a
Bridge of Spies,Thriller/Suspense,PG-13,Parents Strongly Cautioned,72313754,2015,n/a
The Good Dinosaur,Adventure,PG,Parental Guidance Suggested,123087120,2015,n/a
Star Wars Ep. VII: The Force Awakens,Adventure,PG-13,Parents Strongly Cautioned,936662225,2015,n/a
The Finest Hours,Thriller/Suspense,PG,Parental Guidance Suggested,27569558,2016,n/a
Zootopia,Adventure,PG,Parental Guidance Suggested,341268248,2016,n/a
The Jungle Book,Adventure,PG,Parental Guidance Suggested,364001123,2016,n/a
A Beautiful Planet,Documentary,G,General Audiences,7895708,2016,n/a
Captain America: Civil War,Action,PG-13,Parents Strongly Cautioned,408084349,2016,n/a
Alice Through the Looking Glass,Adventure,PG,Parental Guidance Suggested,77042381,2016,n/a
Finding Dory,Adventure,PG,Parental Guidance Suggested,486295561,2016,n/a
The BFG,Adventure,PG,Parental Guidance Suggested,55483770,2016,n/a
Pete’s Dragon,Adventure,PG,Parental Guidance Suggested,76233151,2016,n/a
The Light Between Oceans,Drama,PG-13,Parents Strongly Cautioned,12545979,2016,n/a
Queen of Katwe,Drama,PG,Parental Guidance Suggested,8874389,2016,n/a
Doctor Strange,Adventure,PG-13,Parents Strongly Cautioned,232532923,2016,n/a
Moana,Adventure,PG,Parental Guidance Suggested,246082029,2016,n/a
Rogue One: A Star Wars Story,Adventure,PG-13,Parents Strongly Cautioned,529483936,2016,n/a
